Site Name,UMD-N-Division,UMD-N-Division
Site Identifier,300027339,300027339
Flow Identifier,353333343,353333344
Flow Name,UMD-N-Division Cyclist IN,UMD-N-Division Cyclist OUT
2022-08-26 00:00,1,0
2022-08-26 00:15,1,0
2022-08-26 00:30,0,0
2022-08-26 00:45,1,0
2022-08-26 01:00,0,0
2022-08-26 01:15,0,0
2022-08-26 01:30,0,0
2022-08-26 01:45,0,0
2022-08-26 02:00,0,0
2022-08-26 02:15,0,0
2022-08-26 02:30,0,0
2022-08-26 02:45,0,0
2022-08-26 03:00,0,0
2022-08-26 03:15,0,0
2022-08-26 03:30,1,0
2022-08-26 03:45,0,0
2022-08-26 04:00,0,0
2022-08-26 04:15,0,0
2022-08-26 04:30,0,0
2022-08-26 04:45,0,0
2022-08-26 05:00,0,0
2022-08-26 05:15,0,0
2022-08-26 05:30,0,0
2022-08-26 05:45,0,0
2022-08-26 06:00,0,0
2022-08-26 06:15,1,0
2022-08-26 06:30,2,0
2022-08-26 06:45,1,0
2022-08-26 07:00,0,0
2022-08-26 07:15,1,0
2022-08-26 07:30,0,2
2022-08-26 07:45,1,1
2022-08-26 08:00,2,0
2022-08-26 08:15,3,2
2022-08-26 08:30,0,0
2022-08-26 08:45,2,1
2022-08-26 09:00,3,0
2022-08-26 09:15,2,0
2022-08-26 09:30,3,0
2022-08-26 09:45,2,1
2022-08-26 10:00,4,0
2022-08-26 10:15,3,0
2022-08-26 10:30,3,0
2022-08-26 10:45,2,0
2022-08-26 11:00,2,0
2022-08-26 11:15,1,0
2022-08-26 11:30,4,0
2022-08-26 11:45,1,0
2022-08-26 12:00,1,2
2022-08-26 12:15,0,0
2022-08-26 12:30,5,0
2022-08-26 12:45,4,1
2022-08-26 13:00,5,0
2022-08-26 13:15,4,0
2022-08-26 13:30,2,1
2022-08-26 13:45,2,0
2022-08-26 14:00,1,0
2022-08-26 14:15,1,0
2022-08-26 14:30,3,1
2022-08-26 14:45,3,0
2022-08-26 15:00,5,0
2022-08-26 15:15,3,1
2022-08-26 15:30,2,2
2022-08-26 15:45,3,1
2022-08-26 16:00,1,2
2022-08-26 16:15,8,1
2022-08-26 16:30,0,1
2022-08-26 16:45,3,1
2022-08-26 17:00,6,0
2022-08-26 17:15,5,0
2022-08-26 17:30,2,3
2022-08-26 17:45,6,2
2022-08-26 18:00,5,3
2022-08-26 18:15,2,0
2022-08-26 18:30,7,0
2022-08-26 18:45,11,2
2022-08-26 19:00,4,1
2022-08-26 19:15,5,1
2022-08-26 19:30,1,1
2022-08-26 19:45,0,0
2022-08-26 20:00,2,1
2022-08-26 20:15,5,0
2022-08-26 20:30,1,0
2022-08-26 20:45,1,1
2022-08-26 21:00,1,0
2022-08-26 21:15,6,0
2022-08-26 21:30,0,0
2022-08-26 21:45,2,1
2022-08-26 22:00,2,0
2022-08-26 22:15,3,0
2022-08-26 22:30,4,0
2022-08-26 22:45,1,0
2022-08-26 23:00,1,1
2022-08-26 23:15,2,0
2022-08-26 23:30,4,0
2022-08-26 23:45,5,0
2022-08-27 00:00,0,0
2022-08-27 00:15,0,0
2022-08-27 00:30,2,0
2022-08-27 00:45,1,0
2022-08-27 01:00,0,0
2022-08-27 01:15,0,0
2022-08-27 01:30,0,0
2022-08-27 01:45,0,0
2022-08-27 02:00,0,0
2022-08-27 02:15,0,0
2022-08-27 02:30,0,0
2022-08-27 02:45,0,0
2022-08-27 03:00,0,0
2022-08-27 03:15,0,0
2022-08-27 03:30,0,0
2022-08-27 03:45,0,0
2022-08-27 04:00,0,0
2022-08-27 04:15,0,0
2022-08-27 04:30,0,0
2022-08-27 04:45,0,0
2022-08-27 05:00,0,0
2022-08-27 05:15,0,0
2022-08-27 05:30,1,0
2022-08-27 05:45,0,0
2022-08-27 06:00,1,0
2022-08-27 06:15,0,0
2022-08-27 06:30,0,0
2022-08-27 06:45,0,0
2022-08-27 07:00,2,0
2022-08-27 07:15,0,0
2022-08-27 07:30,1,3
2022-08-27 07:45,4,0
2022-08-27 08:00,5,0
2022-08-27 08:15,6,0
2022-08-27 08:30,0,1
2022-08-27 08:45,2,2
2022-08-27 09:00,6,2
2022-08-27 09:15,3,0
2022-08-27 09:30,0,1
2022-08-27 09:45,7,0
2022-08-27 10:00,1,1
2022-08-27 10:15,6,2
2022-08-27 10:30,4,0
2022-08-27 10:45,6,0
2022-08-27 11:00,5,0
2022-08-27 11:15,4,0
2022-08-27 11:30,7,0
2022-08-27 11:45,1,0
2022-08-27 12:00,2,0
2022-08-27 12:15,5,0
2022-08-27 12:30,4,1
2022-08-27 12:45,6,0
2022-08-27 13:00,2,1
2022-08-27 13:15,0,0
2022-08-27 13:30,2,1
2022-08-27 13:45,6,0
2022-08-27 14:00,5,0
2022-08-27 14:15,7,0
2022-08-27 14:30,2,2
2022-08-27 14:45,4,1
2022-08-27 15:00,5,0
2022-08-27 15:15,4,2
2022-08-27 15:30,6,1
2022-08-27 15:45,4,1
2022-08-27 16:00,1,0
2022-08-27 16:15,2,0
2022-08-27 16:30,7,1
2022-08-27 16:45,7,0
2022-08-27 17:00,4,0
2022-08-27 17:15,3,2
2022-08-27 17:30,5,1
2022-08-27 17:45,7,1
2022-08-27 18:00,1,3
2022-08-27 18:15,1,0
2022-08-27 18:30,3,1
2022-08-27 18:45,1,0
2022-08-27 19:00,3,0
2022-08-27 19:15,3,1
2022-08-27 19:30,3,0
2022-08-27 19:45,2,0
2022-08-27 20:00,1,0
2022-08-27 20:15,1,0
2022-08-27 20:30,1,1
2022-08-27 20:45,3,1
2022-08-27 21:00,0,0
2022-08-27 21:15,0,1
2022-08-27 21:30,0,0
2022-08-27 21:45,2,0
2022-08-27 22:00,0,0
2022-08-27 22:15,5,2
2022-08-27 22:30,0,0
2022-08-27 22:45,1,1
2022-08-27 23:00,0,0
2022-08-27 23:15,0,4
2022-08-27 23:30,1,0
2022-08-27 23:45,1,0
2022-08-28 00:00,1,0
2022-08-28 00:15,1,0
2022-08-28 00:30,0,0
2022-08-28 00:45,0,0
2022-08-28 01:00,0,0
2022-08-28 01:15,0,0
2022-08-28 01:30,1,0
2022-08-28 01:45,0,0
2022-08-28 02:00,1,1
2022-08-28 02:15,0,0
2022-08-28 02:30,0,0
2022-08-28 02:45,1,1
2022-08-28 03:00,0,0
2022-08-28 03:15,0,0
2022-08-28 03:30,0,0
2022-08-28 03:45,0,0
2022-08-28 04:00,0,0
2022-08-28 04:15,0,0
2022-08-28 04:30,0,0
2022-08-28 04:45,0,0
2022-08-28 05:00,0,0
2022-08-28 05:15,0,0
2022-08-28 05:30,0,0
2022-08-28 05:45,0,0
2022-08-28 06:00,0,0
2022-08-28 06:15,1,0
2022-08-28 06:30,1,0
2022-08-28 06:45,1,0
2022-08-28 07:00,0,0
2022-08-28 07:15,4,0
2022-08-28 07:30,1,0
2022-08-28 07:45,3,0
2022-08-28 08:00,2,0
2022-08-28 08:15,0,0
2022-08-28 08:30,2,0
2022-08-28 08:45,1,0
2022-08-28 09:00,1,2
2022-08-28 09:15,6,0
2022-08-28 09:30,0,0
2022-08-28 09:45,2,1
2022-08-28 10:00,2,1
2022-08-28 10:15,2,2
2022-08-28 10:30,6,1
2022-08-28 10:45,6,1
2022-08-28 11:00,3,3
2022-08-28 11:15,6,3
2022-08-28 11:30,2,1
2022-08-28 11:45,4,1
2022-08-28 12:00,2,0
2022-08-28 12:15,1,3
2022-08-28 12:30,6,0
2022-08-28 12:45,1,1
2022-08-28 13:00,4,0
2022-08-28 13:15,5,0
2022-08-28 13:30,2,0
2022-08-28 13:45,7,2
2022-08-28 14:00,4,0
2022-08-28 14:15,2,2
2022-08-28 14:30,5,1
2022-08-28 14:45,3,3
2022-08-28 15:00,3,3
2022-08-28 15:15,3,0
2022-08-28 15:30,3,0
2022-08-28 15:45,9,0
2022-08-28 16:00,3,2
2022-08-28 16:15,1,2
2022-08-28 16:30,1,0
2022-08-28 16:45,3,1
2022-08-28 17:00,2,0
2022-08-28 17:15,4,5
2022-08-28 17:30,4,2
2022-08-28 17:45,4,1
2022-08-28 18:00,2,0
2022-08-28 18:15,7,1
2022-08-28 18:30,0,1
2022-08-28 18:45,2,1
2022-08-28 19:00,0,1
2022-08-28 19:15,1,0
2022-08-28 19:30,2,1
2022-08-28 19:45,3,4
2022-08-28 20:00,5,0
2022-08-28 20:15,0,1
2022-08-28 20:30,0,0
2022-08-28 20:45,2,1
2022-08-28 21:00,1,0
2022-08-28 21:15,0,1
2022-08-28 21:30,2,0
2022-08-28 21:45,3,2
2022-08-28 22:00,1,0
2022-08-28 22:15,1,0
2022-08-28 22:30,0,0
2022-08-28 22:45,2,0
2022-08-28 23:00,0,1
2022-08-28 23:15,0,1
2022-08-28 23:30,0,0
2022-08-28 23:45,0,0
2022-08-29 00:00,0,0
2022-08-29 00:15,2,1
2022-08-29 00:30,0,0
2022-08-29 00:45,0,0
2022-08-29 01:00,0,0
2022-08-29 01:15,0,0
2022-08-29 01:30,0,0
2022-08-29 01:45,0,0
2022-08-29 02:00,2,0
2022-08-29 02:15,0,0
2022-08-29 02:30,0,0
2022-08-29 02:45,0,0
2022-08-29 03:00,0,0
2022-08-29 03:15,0,0
2022-08-29 03:30,0,0
2022-08-29 03:45,0,0
2022-08-29 04:00,0,0
2022-08-29 04:15,0,0
2022-08-29 04:30,0,0
2022-08-29 04:45,0,0
2022-08-29 05:00,0,0
2022-08-29 05:15,0,0
2022-08-29 05:30,0,0
2022-08-29 05:45,0,0
2022-08-29 06:00,0,0
2022-08-29 06:15,0,0
2022-08-29 06:30,1,0
2022-08-29 06:45,1,0
2022-08-29 07:00,0,0
2022-08-29 07:15,1,1
2022-08-29 07:30,3,0
2022-08-29 07:45,2,3
2022-08-29 08:00,0,3
2022-08-29 08:15,0,1
2022-08-29 08:30,1,1
2022-08-29 08:45,0,1
2022-08-29 09:00,0,0
2022-08-29 09:15,0,1
2022-08-29 09:30,2,1
2022-08-29 09:45,2,2
2022-08-29 10:00,1,0
2022-08-29 10:15,0,0
2022-08-29 10:30,0,0
2022-08-29 10:45,1,0
2022-08-29 11:00,1,2
2022-08-29 11:15,2,0
2022-08-29 11:30,0,0
2022-08-29 11:45,1,0
2022-08-29 12:00,2,1
2022-08-29 12:15,4,1
2022-08-29 12:30,0,0
2022-08-29 12:45,4,1
2022-08-29 13:00,4,0
2022-08-29 13:15,3,0
2022-08-29 13:30,0,1
2022-08-29 13:45,3,0
2022-08-29 14:00,3,1
2022-08-29 14:15,3,1
2022-08-29 14:30,2,0
2022-08-29 14:45,3,0
2022-08-29 15:00,5,2
2022-08-29 15:15,6,2
2022-08-29 15:30,3,3
2022-08-29 15:45,9,0
2022-08-29 16:00,6,1
2022-08-29 16:15,5,0
2022-08-29 16:30,0,0
2022-08-29 16:45,4,0
2022-08-29 17:00,4,1
2022-08-29 17:15,2,0
2022-08-29 17:30,1,1
2022-08-29 17:45,1,1
2022-08-29 18:00,2,0
2022-08-29 18:15,3,0
2022-08-29 18:30,2,1
2022-08-29 18:45,1,0
2022-08-29 19:00,3,2
2022-08-29 19:15,1,1
2022-08-29 19:30,3,1
2022-08-29 19:45,2,0
2022-08-29 20:00,1,0
2022-08-29 20:15,0,0
2022-08-29 20:30,1,0
2022-08-29 20:45,1,0
2022-08-29 21:00,0,1
2022-08-29 21:15,0,0
2022-08-29 21:30,0,0
2022-08-29 21:45,1,0
2022-08-29 22:00,0,0
2022-08-29 22:15,0,0
2022-08-29 22:30,0,0
2022-08-29 22:45,0,0
2022-08-29 23:00,0,0
2022-08-29 23:15,1,0
2022-08-29 23:30,0,0
2022-08-29 23:45,0,1
2022-08-30 00:00,0,0
2022-08-30 00:15,0,1
2022-08-30 00:30,0,0
2022-08-30 00:45,0,0
2022-08-30 01:00,0,0
2022-08-30 01:15,0,0
2022-08-30 01:30,0,0
2022-08-30 01:45,0,0
2022-08-30 02:00,0,0
2022-08-30 02:15,0,0
2022-08-30 02:30,0,0
2022-08-30 02:45,0,0
2022-08-30 03:00,0,0
2022-08-30 03:15,0,0
2022-08-30 03:30,0,0
2022-08-30 03:45,0,0
2022-08-30 04:00,0,0
2022-08-30 04:15,0,0
2022-08-30 04:30,0,0
2022-08-30 04:45,1,0
2022-08-30 05:00,0,0
2022-08-30 05:15,1,0
2022-08-30 05:30,0,0
2022-08-30 05:45,0,0
2022-08-30 06:00,0,0
2022-08-30 06:15,3,0
2022-08-30 06:30,1,0
2022-08-30 06:45,0,1
2022-08-30 07:00,1,0
2022-08-30 07:15,1,0
2022-08-30 07:30,6,1
2022-08-30 07:45,5,4
2022-08-30 08:00,2,4
2022-08-30 08:15,3,1
2022-08-30 08:30,2,0
2022-08-30 08:45,3,2
2022-08-30 09:00,2,2
2022-08-30 09:15,2,3
2022-08-30 09:30,1,2
2022-08-30 09:45,2,2
2022-08-30 10:00,2,0
2022-08-30 10:15,4,1
2022-08-30 10:30,3,0
2022-08-30 10:45,3,1
2022-08-30 11:00,2,0
2022-08-30 11:15,1,2
2022-08-30 11:30,1,1
2022-08-30 11:45,3,0
2022-08-30 12:00,2,1
2022-08-30 12:15,4,0
2022-08-30 12:30,2,1
2022-08-30 12:45,2,3
2022-08-30 13:00,5,2
2022-08-30 13:15,0,1
2022-08-30 13:30,0,1
2022-08-30 13:45,7,2
2022-08-30 14:00,4,1
2022-08-30 14:15,2,0
2022-08-30 14:30,5,3
2022-08-30 14:45,4,0
2022-08-30 15:00,3,3
2022-08-30 15:15,4,1
2022-08-30 15:30,7,0
2022-08-30 15:45,6,1
2022-08-30 16:00,5,1
2022-08-30 16:15,9,2
2022-08-30 16:30,3,1
2022-08-30 16:45,7,1
2022-08-30 17:00,7,3
2022-08-30 17:15,7,0
2022-08-30 17:30,7,2
2022-08-30 17:45,3,1
2022-08-30 18:00,3,1
2022-08-30 18:15,4,0
2022-08-30 18:30,4,1
2022-08-30 18:45,10,1
2022-08-30 19:00,3,0
2022-08-30 19:15,5,1
2022-08-30 19:30,2,1
2022-08-30 19:45,2,0
2022-08-30 20:00,5,0
2022-08-30 20:15,3,1
2022-08-30 20:30,1,0
2022-08-30 20:45,0,0
2022-08-30 21:00,3,0
2022-08-30 21:15,0,1
2022-08-30 21:30,2,0
2022-08-30 21:45,1,0
2022-08-30 22:00,0,0
2022-08-30 22:15,0,0
2022-08-30 22:30,1,0
2022-08-30 22:45,1,0
2022-08-30 23:00,0,0
2022-08-30 23:15,2,1
2022-08-30 23:30,1,0
2022-08-30 23:45,0,0
2022-08-31 00:00,0,0
2022-08-31 00:15,0,0
2022-08-31 00:30,1,0
2022-08-31 00:45,0,0
2022-08-31 01:00,0,0
2022-08-31 01:15,0,0
2022-08-31 01:30,0,0
2022-08-31 01:45,0,0
2022-08-31 02:00,0,0
2022-08-31 02:15,0,0
2022-08-31 02:30,0,0
2022-08-31 02:45,0,0
2022-08-31 03:00,0,0
2022-08-31 03:15,0,0
2022-08-31 03:30,1,0
2022-08-31 03:45,0,0
2022-08-31 04:00,0,0
2022-08-31 04:15,0,0
2022-08-31 04:30,0,0
2022-08-31 04:45,0,0
2022-08-31 05:00,0,0
2022-08-31 05:15,1,0
2022-08-31 05:30,0,0
2022-08-31 05:45,0,0
2022-08-31 06:00,0,0
2022-08-31 06:15,2,0
2022-08-31 06:30,1,0
2022-08-31 06:45,1,0
2022-08-31 07:00,0,2
2022-08-31 07:15,3,1
2022-08-31 07:30,4,1
2022-08-31 07:45,9,2
2022-08-31 08:00,3,3
2022-08-31 08:15,1,4
2022-08-31 08:30,1,1
2022-08-31 08:45,5,0
2022-08-31 09:00,2,0
2022-08-31 09:15,1,1
2022-08-31 09:30,3,3
2022-08-31 09:45,3,4
2022-08-31 10:00,6,1
2022-08-31 10:15,5,0
2022-08-31 10:30,0,0
2022-08-31 10:45,0,1
2022-08-31 11:00,5,1
2022-08-31 11:15,7,1
2022-08-31 11:30,3,2
2022-08-31 11:45,3,0
2022-08-31 12:00,2,0
2022-08-31 12:15,2,3
2022-08-31 12:30,2,0
2022-08-31 12:45,4,1
2022-08-31 13:00,6,1
2022-08-31 13:15,6,2
2022-08-31 13:30,2,0
2022-08-31 13:45,3,4
2022-08-31 14:00,3,1
2022-08-31 14:15,6,0
2022-08-31 14:30,11,0
2022-08-31 14:45,4,1
2022-08-31 15:00,2,1
2022-08-31 15:15,7,1
2022-08-31 15:30,4,0
2022-08-31 15:45,2,0
2022-08-31 16:00,6,0
2022-08-31 16:15,3,4
2022-08-31 16:30,6,2
2022-08-31 16:45,4,4
2022-08-31 17:00,20,2
2022-08-31 17:15,9,2
2022-08-31 17:30,5,2
2022-08-31 17:45,10,0
2022-08-31 18:00,7,0
2022-08-31 18:15,7,0
2022-08-31 18:30,7,2
2022-08-31 18:45,3,1
2022-08-31 19:00,7,2
2022-08-31 19:15,4,1
2022-08-31 19:30,7,1
2022-08-31 19:45,5,0
2022-08-31 20:00,5,0
2022-08-31 20:15,6,1
2022-08-31 20:30,4,0
2022-08-31 20:45,3,0
2022-08-31 21:00,3,0
2022-08-31 21:15,2,0
2022-08-31 21:30,4,1
2022-08-31 21:45,0,0
2022-08-31 22:00,0,0
2022-08-31 22:15,1,0
2022-08-31 22:30,1,0
2022-08-31 22:45,0,0
2022-08-31 23:00,0,0
2022-08-31 23:15,0,1
2022-08-31 23:30,1,0
2022-08-31 23:45,0,0
2022-09-01 00:00,0,1
2022-09-01 00:15,1,0
2022-09-01 00:30,0,0
2022-09-01 00:45,0,0
2022-09-01 01:00,0,0
2022-09-01 01:15,0,0
2022-09-01 01:30,0,0
2022-09-01 01:45,0,0
2022-09-01 02:00,0,0
2022-09-01 02:15,0,0
2022-09-01 02:30,0,0
2022-09-01 02:45,0,0
2022-09-01 03:00,0,0
2022-09-01 03:15,0,0
2022-09-01 03:30,0,0
2022-09-01 03:45,0,0
2022-09-01 04:00,0,0
2022-09-01 04:15,0,0
2022-09-01 04:30,0,0
2022-09-01 04:45,0,0
2022-09-01 05:00,1,0
2022-09-01 05:15,1,0
2022-09-01 05:30,0,0
2022-09-01 05:45,0,0
2022-09-01 06:00,1,0
2022-09-01 06:15,0,0
2022-09-01 06:30,0,0
2022-09-01 06:45,3,1
2022-09-01 07:00,0,1
2022-09-01 07:15,5,0
2022-09-01 07:30,7,1
2022-09-01 07:45,9,2
2022-09-01 08:00,2,2
2022-09-01 08:15,2,3
2022-09-01 08:30,2,3
2022-09-01 08:45,5,0
2022-09-01 09:00,5,2
2022-09-01 09:15,4,5
2022-09-01 09:30,0,3
2022-09-01 09:45,4,3
2022-09-01 10:00,9,3
2022-09-01 10:15,7,4
2022-09-01 10:30,4,1
2022-09-01 10:45,2,2
2022-09-01 11:00,10,1
2022-09-01 11:15,4,2
2022-09-01 11:30,6,2
2022-09-01 11:45,2,0
2022-09-01 12:00,3,0
2022-09-01 12:15,2,1
2022-09-01 12:30,4,1
2022-09-01 12:45,5,2
2022-09-01 13:00,2,1
2022-09-01 13:15,5,1
2022-09-01 13:30,6,1
2022-09-01 13:45,3,0
2022-09-01 14:00,4,1
2022-09-01 14:15,3,0
2022-09-01 14:30,2,2
2022-09-01 14:45,7,1
2022-09-01 15:00,4,1
2022-09-01 15:15,6,0
2022-09-01 15:30,4,3
2022-09-01 15:45,7,2
2022-09-01 16:00,10,4
2022-09-01 16:15,9,1
2022-09-01 16:30,3,1
2022-09-01 16:45,4,2
2022-09-01 17:00,7,0
2022-09-01 17:15,9,2
2022-09-01 17:30,12,1
2022-09-01 17:45,3,5
2022-09-01 18:00,5,2
2022-09-01 18:15,7,1
2022-09-01 18:30,8,0
2022-09-01 18:45,3,1
2022-09-01 19:00,4,0
2022-09-01 19:15,3,2
2022-09-01 19:30,3,1
2022-09-01 19:45,3,2
2022-09-01 20:00,1,0
2022-09-01 20:15,3,1
2022-09-01 20:30,2,0
2022-09-01 20:45,4,1
2022-09-01 21:00,2,0
2022-09-01 21:15,3,2
2022-09-01 21:30,2,0
2022-09-01 21:45,1,0
2022-09-01 22:00,2,0
2022-09-01 22:15,2,0
2022-09-01 22:30,0,0
2022-09-01 22:45,0,0
2022-09-01 23:00,1,0
2022-09-01 23:15,1,0
2022-09-01 23:30,0,1
2022-09-01 23:45,1,0
2022-09-02 00:00,0,0
2022-09-02 00:15,0,0
2022-09-02 00:30,0,0
2022-09-02 00:45,0,0
2022-09-02 01:00,0,0
2022-09-02 01:15,0,0
2022-09-02 01:30,1,0
2022-09-02 01:45,0,0
2022-09-02 02:00,0,0
2022-09-02 02:15,1,0
2022-09-02 02:30,0,0
2022-09-02 02:45,0,0
2022-09-02 03:00,0,0
2022-09-02 03:15,0,0
2022-09-02 03:30,0,0
2022-09-02 03:45,0,0
2022-09-02 04:00,0,0
2022-09-02 04:15,0,0
2022-09-02 04:30,0,0
2022-09-02 04:45,0,0
2022-09-02 05:00,0,0
2022-09-02 05:15,0,0
2022-09-02 05:30,0,0
2022-09-02 05:45,0,0
2022-09-02 06:00,0,0
2022-09-02 06:15,0,0
2022-09-02 06:30,1,0
2022-09-02 06:45,2,0
2022-09-02 07:00,1,0
2022-09-02 07:15,1,1
2022-09-02 07:30,1,0
2022-09-02 07:45,2,1
2022-09-02 08:00,1,0
2022-09-02 08:15,0,2
2022-09-02 08:30,3,0
2022-09-02 08:45,1,0
2022-09-02 09:00,4,2
2022-09-02 09:15,0,1
2022-09-02 09:30,4,1
2022-09-02 09:45,1,3
2022-09-02 10:00,4,1
2022-09-02 10:15,2,2
2022-09-02 10:30,2,2
2022-09-02 10:45,3,2
2022-09-02 11:00,3,2
2022-09-02 11:15,0,0
2022-09-02 11:30,0,0
2022-09-02 11:45,3,2
2022-09-02 12:00,5,0
2022-09-02 12:15,5,0
2022-09-02 12:30,2,0
2022-09-02 12:45,7,1
2022-09-02 13:00,3,0
2022-09-02 13:15,4,2
2022-09-02 13:30,5,2
2022-09-02 13:45,5,2
2022-09-02 14:00,4,0
2022-09-02 14:15,7,1
2022-09-02 14:30,2,0
2022-09-02 14:45,3,0
2022-09-02 15:00,6,1
2022-09-02 15:15,7,1
2022-09-02 15:30,4,3
2022-09-02 15:45,4,0
2022-09-02 16:00,9,2
2022-09-02 16:15,7,1
2022-09-02 16:30,5,0
2022-09-02 16:45,4,1
2022-09-02 17:00,2,3
2022-09-02 17:15,11,1
2022-09-02 17:30,3,3
2022-09-02 17:45,5,1
2022-09-02 18:00,2,2
2022-09-02 18:15,4,0
2022-09-02 18:30,5,1
2022-09-02 18:45,9,2
2022-09-02 19:00,2,1
2022-09-02 19:15,5,0
2022-09-02 19:30,2,2
2022-09-02 19:45,2,1
2022-09-02 20:00,5,0
2022-09-02 20:15,6,4
2022-09-02 20:30,3,0
2022-09-02 20:45,3,1
2022-09-02 21:00,2,0
2022-09-02 21:15,8,1
2022-09-02 21:30,0,0
2022-09-02 21:45,1,0
2022-09-02 22:00,3,0
2022-09-02 22:15,0,0
